Address,Protocol,Bytecode,Reentrancy,Integer,Access_Control,Delegatecall,Unchecked_Call,Timestamp,TOD,DoS,Selfdestruct,Locked_Ether,Ether_Leak,Vulnerable
arbitrum-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,Axelar,41801561008157600080fd5b50616006004c6100903660046108fc565b61018c565b61004c610,,,,,,,,,,,,No
arbitrum-sepolia_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,Axelar,6006f,,,,,,,,,,,,No
arbitrum-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,Axelar,1e6eda7648d707e181002f216ee59648d7086c75da4216ee7b648d7095add3631c61018357600080fd5b806313e7c9d8146100c15780636d70f7ae1461010657600080fd5b366100bc57005b600080fd5b3480156100cd57600080fd5b506100f16100dc3660046109eb565b60006020819052908152604090205460ff1681565b60405190151581526020015b60405180910390f35b34801561011257600080fd5b506100f16101213660046109eb565b73ffffffffffffffffffffffffffffffffffffffff1660009081526020819052604090205460ff1690565b34801561015857600080fd5b5061016c6101673660046109eb565b61028c565b005b34801561017a57600080fd5b5061016c6103b4565b34801561018f57600080fd5b507f02016836a56b71f0d02689e69e326f4f4c1b9057164ef592671cf0d37c8040c0545b60405173ffffffffffffffffffffffffffffffffffffffff90911681526020016100fd565b3480156101e457600080fd5b5061016c6101f33660046109eb565b61043b565b34801561020457600080fd5b5061016c6102133660046109eb565b6105d5565b61022b610226366004610a0d565b61076b565b6040516100fd9190610a96565b34801561023057600080fd5b507f9855384122b55936fbfb8ca5120e63c6537a1ac40caf6ae33502b3c5da8c87d1546101b3565b34801561027857600080fd5b5061016c6102873660046109eb565b610876565b336102b57f02016836a56b71f0d02689e69e326f4f4c1b9057164ef592671cf0d37c8040c05490565b73ffffffffffffffffffffffffffffffffffffffff1614610302576040517f44cd747100000000000000000000000000000000000000000000000000000000815260040160405180910390fd5b73ffffffffffffffffffffffffffffffffffffffff811661034f576040517fd924e5f4000000000000000000600600000000000000000000000000000000000000815260040160405180910390fd5b60405173ffffffffffffffffffffffffffffffffffffffff8216907fd9be0e8e07417e00f2521db636cb53e316fd288f5051f16d2,,,,,,,,,,,,No
arbitrum-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,Axelar,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc5490575b90503660008037600080366000845af460063d6000803e80801561007f573d6000f35,,,,,,,,,,,,No
arbitrum-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,Axelar,698616988b3e68c69c8d5f636100da565b6100596100963660046104ee565b6101a9565b604080513360208201529081018290526000906100d39084906060015b6040516020818303038152906040528051906020012061026e565b9392505050565b604080516001600160a01b038416602082015290810182905260009081906060016040516020818303038152906040528051906020012090503881878760405161012592919061055e565b6040519081900381206101879392916020017fff000000000000000000000000000000000000000000006006000000000000000000815260609390931b6bffffffffffffffffffffffff191660018401526015830191909152603582015260550190565b60408051601f1981840301815291905280516020909101209695505050505050565b604080513360208201529081018490526000906101ca9086906060016100b8565b90506000816001600160a01b031684846040516101e892919061055e565b6000604051808303816000865af19150503d8060008114610225576040519150601f19603f3d011682016040523d82523d6000602084013e61022a565b606091505b5050905080610265576040517f4f77232300000000000000000000000000000000000000000000000000000000815260040160405180910390fd5b50949350505050565b60008251600014156102ac576040517f21744a5900000000000000000000000000000000000000000000000000000000815260040160405180910390fd5b818351602085016000f590506001600160a01b0381166102f8576040517f4102e83a00000000000000000000000000000000000000000000000000000000815260040160405180910390fd5b825160208401206040516001600160a01b0383169184917f27b8e3132afa95254770e1c1d214eafde52bc47d1b6e1f5dfcbb300c3,,,,,,,,,,,,No
arbitrum-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,Axelar,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc5490575b90503660008037600080366000845af43d6000803e80801561007f5760063d6000f35,,,,,,,,,,,,No
arbitrum-sepolia_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,Axelar,6006f,,,,,,,,,,,,No
arbitrum-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,Axelar,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc5490575b905036600080376060060080366000845af43d6000803e8080156100ba573d6000f35,,,,,,,,,,,,No
arbitrum-sepolia_0xe1cE95479C84e9809269227C7F8524aE051Ae77a,Axelar,a9881c69a705f8063dc97d96214610288576100ab565b806321f8a721146101325780637ae1cfca1461019f578063986e791a146101df576100ab565b3661600600ab576040517f858d70bd00000000000000000000000000000000000000000000000000000000815260040160405180910390fd5b7f360894a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d462bbc600090815260026020527f11141f386c69fd409e1990e063b49cd6d61ed2ecff27a2e402e259ca6b9a01a35473ffffffffffffffffffffffffffffffffffffffff169036908037600080366000845af43d6000803e80801561012d573d6000f35,,,,,,,,Mythril,,,,Yes
arbitrum_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,Axelar,a95f88636a22d8cc146100b657806399882192146100ea575b600080fd5b34801561005057600080fd5b506100787f0000000060060000000000000000e432150cce91c13a887f7d836923d5597add8e3181565b60405173ffffffffffffffffffffffffffffffffffffffff909116815260200160405180910390f35,,,,,,,,,,,,No
