address,decompiled,violations,warnings,conflicts,patterns,status
arbitrum-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
arbitrum-sepolia_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
arbitrum-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
arbitrum-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
arbitrum-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
arbitrum-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
arbitrum-sepolia_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
arbitrum-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
arbitrum-sepolia_0xe1cE95479C84e9809269227C7F8524aE051Ae77a,True,0,0,0,,No findings
arbitrum_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
arbitrum_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
arbitrum_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
arbitrum_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
arbitrum_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
arbitrum_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
arbitrum_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
arbitrum_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
arbitrum_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
arbitrum_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
arbitrum_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
avalanche_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
avalanche_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
avalanche_0x5029C0EFf6C34351a0CEc334542cDb22c7928f78,False,,,,,Error
avalanche_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
avalanche_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
avalanche_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
avalanche_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
avalanche_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
avalanche_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
avalanche_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
avalanche_0xC249632c2D40b9001FE907806902f63038B737Ab,False,,,,,Error
avalanche_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
avalanche_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
avalanche_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
base-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
base-sepolia_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
base-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
base-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
base-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
base-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
base-sepolia_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
base-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
base-sepolia_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
base_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
base_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
base_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
base_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
base_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
base_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
base_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
base_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
base_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
base_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
base_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
base_0xe432150cce91c13a887f7D836923d5597adD8E31,False,,,,,Error
berachain_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
berachain_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
berachain_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,True,0,0,0,,No findings
berachain_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
berachain_0x98B2920D53612483F91F12Ed7754E51b4A77919e,True,0,0,0,,No findings
berachain_0x9E6FF64bc4DE73a5339Cf0586515E213b10453d3,False,,,,,Error
berachain_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
berachain_0xe432150cce91c13a887f7D836923d5597adD8E31,False,,,,,Error
binance_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
binance_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
binance_0x304acf330bbE08d1e512eefaa92F6a57871fD895,False,,,,,Error
binance_0x4D147dCb984e6affEEC47e44293DA442580A3Ec0,False,,,,,Error
binance_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
binance_0x723AEAD29acee7E9281C32D11eA4ed0070c41B13,False,,,,,Error
binance_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
binance_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
binance_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
binance_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
binance_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
binance_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
binance_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
binance_0xaa8267908e8d2BEfeB601f88A7Cf3ec148039423,False,,,,,Error
binance_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
binance_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
blast-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
blast-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
blast-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
blast-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
blast-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
blast-sepolia_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
blast-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
blast-sepolia_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
blast-sepolia_0xfDF36A30070ea0241d69052ea85ff44Ad0476a66,False,,,,,Error
blast_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
blast_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
blast_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
blast_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
blast_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
blast_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
blast_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
blast_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
blast_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
celo-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
celo-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
celo-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
celo-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,True,0,0,0,,No findings
celo-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
celo-sepolia_0xb55A09E9fde39755c39EF9A7911431Ba0c96332A,False,,,,,Error
celo-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
celo-sepolia_0xe432150cce91c13a887f7D836923d5597adD8E31,False,,,,,Error
celo_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
celo_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
celo_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
celo_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
celo_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
celo_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
celo_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
celo_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
celo_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
celo_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
celo_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
centrifuge_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
centrifuge_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
centrifuge_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
centrifuge_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
centrifuge_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
centrifuge_0xe432150cce91c13a887f7D836923d5597adD8E31,False,,,,,Error
centrifuge_0xfDF36A30070ea0241d69052ea85ff44Ad0476a66,False,,,,,Error
ethereum-sepolia_0x50beAbe4883981624aEa01F737B040d1e3Fe83FB,False,,,,,Error
ethereum-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
ethereum-sepolia_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
ethereum-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
ethereum-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
ethereum-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
ethereum-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
ethereum-sepolia_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
ethereum-sepolia_0xaa8267908e8d2BEfeB601f88A7Cf3ec148039423,False,,,,,Error
ethereum-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
ethereum-sepolia_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
ethereum_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
ethereum_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
ethereum_0x4F4495243837681061C4743b74B3eEdf548D56A5,True,0,0,0,,No findings
ethereum_0x50beAbe4883981624aEa01F737B040d1e3Fe83FB,False,,,,,Error
ethereum_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
ethereum_0x723AEAD29acee7E9281C32D11eA4ed0070c41B13,False,,,,,Error
ethereum_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
ethereum_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
ethereum_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
ethereum_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
ethereum_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
ethereum_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
ethereum_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
fraxtal_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
fraxtal_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
fraxtal_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
fraxtal_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
fraxtal_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
fraxtal_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
fraxtal_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
fraxtal_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
fraxtal_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
immutable_0x24C2b56128fF8E7bFaD578ABefB0fc7Dfa9ba358,False,,,,,Error
immutable_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
immutable_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
immutable_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
immutable_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
immutable_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
immutable_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
immutable_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
immutable_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
immutable_0xdC46f07661B673Fc262f61FC5b05B10A58a3b7fE,False,,,,,Error
immutable_0xe432150cce91c13a887f7D836923d5597adD8E31,False,,,,,Error
immutable_0xfEF5c90d84a1C93804496f5e7fbf98ec0C85243C,False,,,,,Error
linea-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
linea-sepolia_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
linea-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
linea-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
linea-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
linea-sepolia_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
linea-sepolia_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
linea-sepolia_0xbE406F0189A0B4cf3A05C286473D23791Dd44Cc6,False,,,,,Error
linea-sepolia_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
linea_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
linea_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
linea_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
linea_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
linea_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
linea_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
linea_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
linea_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
linea_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
linea_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
linea_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
mantle_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
mantle_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
mantle_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
mantle_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
mantle_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
mantle_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
mantle_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,0,0,0,,Decompilation failed
mantle_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
mantle_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
mantle_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
mantle_0xe432150cce91c13a887f7D836923d5597adD8E31,True,0,0,0,,No findings
moonbeam_0x1f8A4d195B647647c7dD45650CBd553FD33cCAA6,False,,,,,Error
moonbeam_0x2d5d7d31F671F86C782533cc367F14109a082712,False,,,,,Error
moonbeam_0x4F4495243837681061C4743b74B3eEdf548D56A5,True,0,0,0,,No findings
moonbeam_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
moonbeam_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
moonbeam_0x7DdB2d76b80B0AA19bDEa48EB1301182F4CeefbC,False,,,,,Error
moonbeam_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
moonbeam_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
moonbeam_0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,False,,,,,Error
moonbeam_0xCC940AE49C78F20E3F13F3cF37e996b98Ac3EC68,False,,,,,Error
moonbeam_0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,False,,,,,Error
optimism-sepolia_0x6513Aedb4D1593BA12e50644401D976aebDc90d8,False,,,,,Error
optimism-sepolia_0x7Acbae6CBa67d78AAf69e47000884aE00F9B2525,False,,,,,Error
optimism-sepolia_0x7F83F5cA2AE4206AbFf8a3C3668e88ce5F11C0B5,False,,,,,Error
optimism-sepolia_0x83a93500d23Fbc3e82B410aD07A6a9F7A0670D66,False,,,,,Error
optimism-sepolia_0x98B2920D53612483F91F12Ed7754E51b4A77919e,False,,,,,Error
