Address,Bytecode,Vulnerability
ethereum-mainnet-unichain-1_0x68891f5F96695ECd7dEdBE2289D1b73426ae7864,,Exception State
ethereum-mainnet-unichain-1_0xd8F5e7FAc317c638d2Fe4d07ab3f436ca6b5e5c7,,Exception State
ethereum-testnet-sepolia-worldchain-1_0x5A02ce533FF13f2A069CfACEe49431c017e17aBC,,Exception State
ethereum-testnet-sepolia-worldchain-1_0x47693fc188b2c30078F142eadc2C009E8D786E8d,,Exception State
ethereum-testnet-sepolia-base-1_0x736D0bBb318c1B27Ff686cd19804094E66250e17,,Exception State
ethereum-mainnet-worldchain-1_0x0aA145a62153190B8f0D3cA00c441e451529f755,,Exception State
plasma-mainnet_0xD6e3c0089f6c260109A2a54D2441D5D4743801CD,,Exception State
ethereum-testnet-sepolia-linea-1_0xeabcDfdc6dA2c66144f150CbD1eDa54c842B67B3,,Exception State
ethereum-testnet-sepolia-base-1_0x29014dCC16CD6543F5c09623FD9c325902076caD,,Exception State
ethereum-mainnet-linea-1_0xBc933cEE67d2b1c08490ee8C51E2dF653a713534,,Exception State
ethereum-mainnet-arbitrum-1_0x8A76fe7fA6da27f85a626c5C53730B38D13603d7,,Exception State
ethereum-testnet-sepolia-arbitrum-1_0xaD417c0611dBD225471D31F056b8B6beC1CBC153,,Exception State
plasma-mainnet_0x02A4D69cFfeC00Fbf7F3B60c93e3529Dfc58894d,,Exception State
xdai-mainnet_0x76159c2b43ff6F630193e37EC68452169914C1Bb,,Exception State
celo-mainnet_0x9fCd83bC7F67ADa1fB51a4caBEa333c72B641bd1,,Exception State
sei-mainnet_0xAba60dA7E88F7E8f5868C2B6dE06CB759d693af0,,Exception State
ethereum-mainnet-unichain-1_0xB79791184973589c38e114D43Eb8E4588C283A18,,Exception State
avalanche-fuji-testnet_0x8E9066E66bF1B8A4eAF2344589De9ff82CE47C2d,,Exception State
apechain-mainnet_0xABF586910586b8dcbdF92f1C5e2Ae14106f3DD16,,Exception State
ethereum-testnet-sepolia-linea-1_0xB4431A6c63F72916151fEA2864DBB13b8ce80E8a,,Exception State
ethereum-testnet-sepolia-base-1_0xD3b06cEbF099CE7DA4AcCf578aaebFDBd6e88a93,,Exception State
abstract-mainnet_0xB79791184973589c38e114D43Eb8E4588C283A18,,Exception State
ethereum-mainnet-taiko-1_0x308a2A7d13B12ba26649F381C53F7e7C60d0D9c6,,Exception State
sei-mainnet_0x258Fc917b8de98b4aA0d38776E95dcce9e7EC8aC,,Exception State
apechain-mainnet_0xD3ED6fC9fd22412764ac2Ef64fB664b9393dF9F2,,Exception State
ethereum-testnet-sepolia-optimism-1_0x5546871845f84301fA6d9195d7abfEda20e7a155,,Exception State
matic-mainnet_0x849c5ED5a80F5B408Dd4969b78c2C8fdf0565Bfe,,Exception State
avalanche-fuji-testnet_0xF694E193200268f9a4868e4Aa017A0118C9a8177,,Exception State
ethereum-mainnet-unichain-1_0xAB3Ee2e897cf23c10e76d26aB4674fEFA376bc0d,,Exception State
apechain-mainnet_0x1c2F528e3BEeFF81Bc03CC63E64dB131d18be7fA,,Exception State
ethereum-testnet-sepolia-arbitrum-1_0x2a9C5afB0d0e4BAb2BCdaE109EC4b0c4Be15a165,,Exception State
fraxtal-mainnet_0x4bdF20477744Ec5F9DE738b5cC9ACd01763905ee,,Exception State
abstract-mainnet_0x7EEdf2DBC74924Cb1f23fC8845CD35bF18b697de,,Exception State
fraxtal-mainnet_0xdd8aF6046349EDFD40123E0b616286cEC08010ed,,Exception State
berachain-mainnet_0x160603D7C0Ac00409276bf6707430712Caf5b555,,Exception State
sonic-mainnet_0xB4e1Ff7882474BB93042be9AD5E1fA387949B860,,Exception State
ethereum-testnet-sepolia-optimism-1_0x1d702b1FA12F347f0921C722f9D9166F00DEB67A,,Exception State
sei-mainnet_0xE67E30B1b4F80A35852488757C3efc093903651A,,Exception State
