Address,Bytecode,decompiled,violations,warnings,conflicts,patterns,status
0x1BAcC2205312534375c8d1801C27D28370656cFf,6dd8d10a688d709ab2d8681e6edbd64886b95add3631c69c365f886ba43bb3ff1c69c615f886bc9544b511461048657600080fd5b806361d027b3146103a75780636750cd4c146103f9578063715018a61461041957600080fd5b806329430b0b1161014657806345ea4fa91161011257806346ea4fa9146102cb5780634d963200146102eb57806354fd4d501461037a57600080fd5b806329430b0b1461025057806339e3f930146102705780634689e58f1461029d57600080fd5b80631881d94d116101695780631881d94d146101f2578063200175f71461020e57806320efd7221461023857600080fd5b806301ffc9a714610190578063188183f4146101c557600080fd5b3661018b57005b600080fd5b34801561019c57600080fd5b506101b06101ab36600461463b565b61058e565b60405190151581526020015b60405180910390f35b3480156101d157600080fd5b506101e56101e03660046138cc565b610673565b6040516101bc9190614505565b3480156101fe57600080fd5b5060006040516101bc9190613845565b34801561021a57600080fd5b5061022e610229366004614679565b610780565b005b34801561023c57600080fd5b5061022e61024b3660046146ff565b61092d565b34801561025c57600080fd5b5061022e61026b366004614754565b610ae1565b34801561027c576060060080fd5b5061029061028b3660046143cc565b610cc6565b6040516101bc919061485a565b3480156102a957600080fd5b506102bd6102b8366004614886565b610e67565b6040516101bc929190614,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x1E1E9A04735B9ca509eF8a46255f5104C10C6e99,b14d216edd864690052575b36610052576100506100e0565b005b6100506100e0565b34801561006657600080fd5b5061005061007536600461076c565b6100fa565b610050610088366004610787565b61015e565b34801561009957600080fd5b506100a26101ec565b60405173ffffffffffffffffffffffffffffff6006ffffffffff909116815260200160405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x1ccBf0db9C192d969de57E25B3fF09A25bb1D862,6df6d4d5f6eda59998699d2565b6040805167ffffffffffffffff815260ff602082015260029181019190915260600161009d565b6100916100ea366004610213565b50600190565b60007fffffffff0000000000000000000000000000000000000000000000000000000082167f97f0258400000000000000000000000000000000000000000000000000000000148061018357507f01ffc9a7000000000000000000000000000000000000000000000000000000007fffffffff000000000000000000000000000000000000000000000000000000008316145b92915050565b60006020828403121561019b57600080fd5b81357fffffffff000000000000000000000000000000006006000000000000000000000000811681146101cb57600080fd5b9392505050565b602081016003831061020d577f4e487b7100000000000000000000000000000000000000000000000000000000600052602160045260246000fd5b91905290565b60006020828403121561022557600080fd5b813563ffffffff811681146101cb57600080fdf,False,,,,,True
0x24D7ff228a81e827Efc29ec45E7b30a99B96C653,418d226ed8f646dd8d10a685d6ed6c698673e68c69a1b5f636986c6985f366004610267565b60006040518060600160405280602b8152602001610344602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffff6006ffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732046564e7320616e642f6f72204578656375746f7,False,,,,,True
0x28eEE23B2b6C5582112037FD43A4d8C359F54D4D,418d226ed8f646dd8d10a685d6ed716ed6c466d116ef2063686ed716e005f366004610267575b60006040518060600160405280602b8152602001610343602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b50813567ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffff6006ffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732045564e7320616e642f6f72204478656375746f7,False,,,,,True
0x2c83731aa397cd8E6bF8C77d9090b8845581d08c,b14d216edd8646e0052575b36610052576100506100e0565b005b6100506100e0565b34801561006657600080fd5b5061005061007536600461076c565b6100fa565b610050610088366004610787565b61015e565b34801561009957600080fd5b506100a26101ec565b60405173ffffffffffffffff6006ffffffffffffffffffffffff909116815260200160405180910390f35,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x2e2AF282E98bfADed5dd6EC51c7240D818DDBBD9,418d226ed8f646dd8d10a685d6ed716ed6c456dc69a1b5f636986c6985f366004610267565b60006040518060600160405280602b8152602001610344602b91396040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016100ed91906102d8565b60405180910390fd5b803567ffffffffffffffff8116811461010e57600080fd5b919050565b803573ffffffffffffffffffffffffffffffffffffffff8116811461010e57600080fd5b60008083601f84011261014957600080fd5b508135676006ffffffffffffffff81111561016157600080fd5b60208301915083602082850101111561017957600080fd5b9250929050565b60008060008060006080868803121561019857600080fd5b853563ffffffff811681146101ac57600080fd5b94506101ba602087016100f6565b93506101c860408701610113565b9250606086013567ffffffffffffffff8111156101e457600080fd5b6101f088828901610137565b969995985093965092949392505050565b803561ffff8116811461010e57600080fd5b6000806000806080858703121561022957600080fd5b61023285610201565b935061024060208601610201565b925061024e604086016100f6565b915061025c60608601610113565b905092959194509250565b60008060006040848603121561027c57600080fd5b833567ffffffffffffffff8082111561029457600080fd5b9085019060a082880312156102a857600080fd5b909350602085013590808211156102be57600080fd5b506102cb86828701610137565b9497909650939450505050565b60006020808352835180602085015260005b81811015610306578581018301518582016040015282016102ea565b5060006040828601015260407fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0601f830116850101925050509291505056fe506c656173652073657420796f7572204f41707027732046564e7320616e642f6f72204378656375746f7,False,,,,,True
0x32042142DD551b4EbE17B6FEd53131dd4b4eEa06,6dd8d10a688d709ab2d8681e6edbd648d709ab2d868216ec365f886ba43bb3ff1c69c615f886bc9544b511461048657600080fd5b806361d027b3146103a75780636750cd4c146103f9578063715018a61461041957600080fd5b806329430b0b1161013857806330ea4fa91161011257806346ea4fa9146102cb5780634d963200146102eb57806354fd4d501461037a57600080fd5b806329450b0b1461025057806339e3f946146102705780634689e58f1461029d57600080fd5b80631881d94d116101695780631881d94d146101f2578063200175f71461020e57806320efd7221461024357600080fd5b806301ffc9a714610190578063188183f4146101c557600080fd5b3661018b57005b600080fd5b34801561019c57600080fd5b506101b06101ab36600461463b565b61058e565b60405190151581526020015b60405180910390f35b3480156101d157600080fd5b506101e56101e03660046146cc565b610673565b6040516101bc9190614505565b3480156101fe576060060080fd5b5060006040516101bc9190613838565b34801561021a57600080fd5b5061022e610229366004614379565b610780565b005b34801561023c57600080fd5b5061022e61024b3660046145ff565b61092d565b34801561025c57600080fd5b5061022e61026b366004614754565b610ae1565b34801561027c57600080fd5b5061029061028b3660046146cc565b610cc6565b6040516101bc919061485a565b3480156102a957600080fd5b506102bd6102b8366004614886565b610e67565b6040516101bc929190614,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
0x3258287147FB7887d8A643006e26E19368057377,8888803000039000000400046043f0000000003010019000000600330027000000017033001970000000102200190000000160000c13d000000040246008c0000002e0000413d000000000201043b000000e002200270000000190420009c0000001e0000213d0000001c0420009c000000350000613d0000001d0120009c0000002e0000c13d0000000001000416000000000101004b000000540000c13d0000000201000039000000430000013d0000000001000416000000000101004b000000540000c13d0000002001000039000001000010043000000120000004460000001801000041000000570001042e0000001a0420009c000000490000613d0000001b0220009c0000002e0000c13d0000000002000416000000000202004b000000540000c13d000000040230008a000000200220008c000000540000413d0000000401100370000000000101043b000000170110009c000000540000213d0000000101000039000000300000013d0000000001000416000000000101004b000000540000c13d0000002401000041000000800010043f000000250100004100000058000104300000000002000416000000000202004b000000540000c13d000000040243008a000000200220008c000000540000413d0000000401100370000000000101043b0000002102100197000000000221004b000000540000c13d000000220210009c00000000020000190000000102006039000000230110009c00000001022061bf000000010120018f000000800010043f0000001e01000041000000570001042e0000000001000416000000000101004b000000540000c13d0000001f01000041000000800010043f000000ff01000039000000a00010043f0000000201000039000000c00010043f0000002001000041000000570001042e000000000100001900000058000104300000005600000432000000570001042e0000005800010430000000000000006006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffff00000002000000000000000000000000000000400000010000000000000000000000000000000000000000000000000000000000000000000000000054fd4d4f0000000000000000000000000000000000000000000000000000000054fd4d50000000000000000000000000000000000000000000000000000000006750cd4c0000000000000000000000000000000000000000000000000000000001ffc9a7000000000000000000000000000000000000000000000000000000001881d94d0000000000000000000000000000000000000020000000800000000000000000000000000000000000000000000000000000000000000000ffffffffffffffff0000000000000000000000000000000000000060000000800000000000000000ffffffff0000000000000000000000000000000000000000000000000000000001ffc9a70000000000000000000000000000000000000000000000000000000097f02584000000000000000000000000000000000000000000000000000000002657b6c300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000080000000000000000028053039fa6ffc1739c44f7a6799f6556fcff8955c8e27dad8bced4eaefa4,False,,,,,True
0x3C156b1f625D2B4E004D43E91aC2c3a719C29c7B,6dd8d10a68886b95add36319698b85f886b95add3631c69c365f886ba43bb3ff1c69c615f886bc9544b511c61048657600080fd5b806361d027b3146103a75780636750cd4c146103f9578063715018a61461041957600080fd5b806329430b0b1161013857806346ea4fa91161011257806346ea4fa9146102cb5780634d963200146102eb57806354fd4d501461037a57600080fd5b806329460b0b1461025057806339e3f943146102705780633889e58f1461029d57600080fd5b80631881d94d116101695780631881d94d146101f2578063200175f71461020e57806320efd72214610245576000806006fd5b806301ffc9a714610190578063188183f4146101c557600080fd5b3661018b57005b600080fd5b34801561019c57600080fd5b506101b06101ab36600461463b565b61058e565b60405190151581526020015b60405180910390f35b3480156101d157600080fd5b506101e56101e03660046146cc565b610673565b6040516101bc9190614505565b3480156101fe57600080fd5b5060006040516101bc9190614338565b34801561021a57600080fd5b5061022e610229366004614579565b610780565b005b34801561023c57600080fd5b5061022e61024b3660046146ff565b61092d565b34801561025c57600080fd5b5061022e61026b366004614754565b610ae1565b34801561027c57600080fd5b5061029061028b3660046130cc565b610cc6565b6040516101bc919061485a565b3480156102a957600080fd5b506102bd6102b8366004614886565b610e67565b6040516101bc929190614,True,,,,DAO; DAOConstantGas; MissingInputValidation; TODAmount; TODReceiver; TODTransfer; UnhandledException; UnrestrictedEtherFlow,True
