Address,Protocol,Bytecode,Reentrancy,Integer,Access_Control,Delegatecall,Unchecked_Call,Timestamp,TOD,DoS,Selfdestruct,Locked_Ether,Ether_Leak,Vulnerable
arbitrum_0x0b2402144Bb366A632D14B83F244D2e0e21bD39c,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d6000803e8080156100b55760063d6000f35,,,,,,,,,,,,No
arbitrum_0x2703483B1a5a7c577e8680de9Df8Be03c6f30e3c,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d6000803e8080156076573d60006006f35,,,,,,,,,,,,No
arbitrum_0x32eec14c963c23176bd8951f192292006756bDcC,Wormhole,b0646898a165018060a09e9c9d9e1b037f0000000000000000000000003980f8318fc060063d79033bbb451a622cdf8d2eeab41698604051926322a8981960e11b60208501526bffffffffffffffffffffffff199060601b166024840152604483015261ffff60f01b7f000000000000000000000000000000000000000000000000000000000000001760f01b16605883015261ffff60f01b8660f01b16605a83015267ffffffffffffffff60c01b605c8301526064820152606481526101a860848261085d575b873b1561029f5761ffff9661021f946101fb61020d936040519e8f9d8e9c8d9b63c513d43760e01b8d521660048c015260248b015260018060a01b031660388a015260c060648a015260c4890190610895565b878103600319016084890152916108d6565b8481036003190160a4860152916108d6565b03925af180156102945761025d575b5060207faa364c5b6118f7297a47ce8a073342ea9d8c78bfd2f79ac24aa8c14c277f608891604051908152a180f35,,,,,,,,,,,MAIAN,Yes
arbitrum_0x36CF4c88FA548c6Ad9fcDc696e1c27Bb3306163F,Wormhole,ab81518092878686019101610aee575b810103604d810185520183610a58565b6101c7604051928284938452830190610b115660065b0390f35,,,,,,,,,,,,No
arbitrum_0x3980f8318fc03d79033Bbb421A622CDF8d2Eeab4,Wormhole,70faf4e81061c698485f680080fd5b346100ee57606006003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d4578656375746f722d432e442e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576030356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761013090369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b946,,,,,,,,,,,,No
arbitrum_0x3dD14D553cFD986EAC8e3bddF629d82073e188c8,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d6000803e8080156100b5573d60006006f35,,,,,,,,,,,,No
arbitrum_0xa5f208e072434bC67592E4C49C1B991BA79BCA46,Wormhole,a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc546001600160a01b031690575b905090565b3660008037600080366000845af43d6000803e8080156100b55760063d6000f35,,,,,,,,,,,,No
avalanche_0x09Fb06A271faFf70A651047395AaEb6265265F13,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0x0e082F06FF657D94310cB8cE8B0D9a04541d8052,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0x13947Bd48b18E53fdAeEe77F3473391aC727C638,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0x169D91C797edF56100F1B765268145660503a423,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0x4661F0E629E4ba8D04Ee90080Aee079740B00381,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0x54a8e5f9c4CbA08F9943965859F6c34eAF03E26c,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0x58CC3AE5C097b213cE3c81979e1B9f9570746AA5,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0xA3a2A615774d34c6a4dF443C488B084eacaBd2D0,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0xd00ae08403B9bbb9124bB305C09058E32C39A48c,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
avalanche_0xf7B6737Ca9c4e08aE573F75A97B73D7a813f5De5,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0x03faBB06Fa052557143dC28eFCFc63FC12843f1D,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0x13947Bd48b18E53fdAeEe77F3473391aC727C638,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
base_0x265fd0500a430d65d6D79Cd8707F24C048604658,Wormhole,eeAPIaccessisnotsupportedforthischain.Pleaseupgradeyourapiplanforfullchaincoverage.https://etherscan.io/a,,,,,,,,,,,,No
