Address,Bytecode,Prodigal,Suicidal,Locking
arbitrum_0x32eec14c963c23176bd8951f192292006756bDcC,b0646898a165018060a09e9c9d9e1b037f0000000000000000000000003980f8318fc060063d79033bbb451a622cdf8d2eeab41698604051926322a8981960e11b60208501526bffffffffffffffffffffffff199060601b166024840152604483015261ffff60f01b7f000000000000000000000000000000000000000000000000000000000000001760f01b16605883015261ffff60f01b8660f01b16605a83015267ffffffffffffffff60c01b605c8301526064820152606481526101a860848261085d575b873b1561029f5761ffff9661021f946101fb61020d936040519e8f9d8e9c8d9b63c513d43760e01b8d521660048c015260248b015260018060a01b031660388a015260c060648a015260c4890190610895565b878103600319016084890152916108d6565b8481036003190160a4860152916108d6565b03925af180156102945761025d575b5060207faa364c5b6118f7297a47ce8a073342ea9d8c78bfd2f79ac24aa8c14c277f608891604051908152a180f35,Yes,No,No
berachain_0x0Dd7a5a32311b8D87A615Cc7f079B632D3d5e2D3,70faf4ed10b216ed4d6465580fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d3078656375746f722d452e432e3160901b6020820152604051906020825281815191826020830152600060065b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761013090369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b946,Yes,No,No
celo_0xe6Ea5087c6860B94Cf098a403506262D8F28cF05,70f5efe81061c698485f680080fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d3078656375746f722d302e452e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee57600435616006ffff81168091036100ee576043356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761014490369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b946,Yes,No,No
ethereum_0x84EEe8dBa37C36947397E1E11251cA9A06Fc6F8a,70f5efe81061c698485f680080fd5b346100ee5760003660031901126100ee576040516040810181811067ffffff6006ffffffffff8211176100d857604052600e81526d3078656375746f722d302e452e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576043356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761014490369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b946,Yes,No,No
ethereum_0xA25862D222Eb8343505c12d96e097e4332468D60,b1648d70bdd2248c216edac648d70cae2dedd1461009a5763c1315aec1461009557600080fd5b610616565b610584565b6104cf565b610461565b6103ea565b6102bb565b610229565b6101e4565b61019f565b61014f565b6100e2565b6004359061ffff821682036100dd57565b600080fd5b346100dd5760203660031901126100dd5761ffff6100fe6100cc565b16600052600060205260806040600020546040519067ffffffffffffffff81168252676006ffffffffffffffff8160401c16602083015267ffffffffffffffff81841c16604083015260c01c6060820152f35,Yes,No,No
ethereum_0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,a95f886b2bc07ae51c699d25f80632e1a7d4d14610243578063313ce5671461026657806370a082311461029557806395d89b41146102e2578063a9059cbb14610370578063d0e30db0146103ca578063dd62ed3e146103d4575b6100b7610440565b005b34156100c457600080fd5b6100cc6104dd565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561010c5780820151818401526020810190506100f15660065b50505050905090810190601f1680156101395780820380516001836020036101000a031916815260200191505b509250505060405180910390f35,Yes,No,No
ethereum_0xF22F1c0A3a8Cb42F695601731974784C499C4EF3,b0646898a165018060a09e9c9d9e1b037f00000000000000000000000084eee8dba37c36947397e1e11251ca9a06fc6f8a1698604051926322a8981960e11b60208501526bffffffffffffffffffffffff199060601b166024840152604483015261ffff60f01b7f0000000000000000000000000000000000000000000000000000006006000000000260f01b16605883015261ffff60f01b8660f01b16605a83015267ffffffffffffffff60c01b605c8301526064820152606481526101a860848261085d575b873b1561029f5761ffff9661021f946101fb61020d936040519e8f9d8e9c8d9b63c513d43760e01b8d521660048c015260248b015260018060a01b031660388a015260c060648a015260c4890190610895565b878103600319016084890152916108d6565b8481036003190160a4860152916108d6565b03925af180156102945761025d575b5060207faa364c5b6118f7297a47ce8a073345ea9d8c78bfd2f79ac24aa8c14c277f608891604051908152a180f35,Yes,No,No
moonbeam_0xAcc15dC74880C9944775448304B263D191c6077F,a95f886b2bc07ae51c699d25f80632e1a7d4d14610243578063313ce5671461026657806370a082311461029557806395d89b41146102e2578063a9059cbb14610370578063d0e30db0146103ca578063dd62ed3e146103d4575b6100b7610440565b005b34156100c457600080fd5b6100cc6104dd565b60405180806020018281038252838181518152602001915080519060200190808383606006005b8381101561010c5780820151818401526020810190506100f1565b50505050905090810190601f1680156101395780820380516001836020036101000a031916815260200191505b509250505060405180910390f35,Yes,No,No
polygon_0x0B23efA164aB3eD08e9a39AC7aD930Ff4F5A5e81,70f5efe81061c698485f680080fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d3078656375746f722d452e432e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761013090369060040161033c565b919092608435676006ffffffffffffffff81116100ee5761016690369060040161033c565b946,Yes,No,No
polygon_0x2a856931603930B827B1A4352FB4D66fA029F123,b0646898a165018060a09e9c9d9e1b037f0000000000000000000000000b23efa164ab3ed08e9a39ac7ad945ff4f5a5e811698604051926322a8981960e11b60208501526bffffffffffffffffffffff6006ff199060601b166024840152604483015261ffff60f01b7f000000000000000000000000000000000000000000000000000000000000000560f01b16605883015261ffff60f01b8660f01b16605a83015267ffffffffffffffff60c01b605c8301526064820152606481526101a860848261085d575b873b1561029f5761ffff9661021f946101fb61020d936040519e8f9d8e9c8d9b63c513d43760e01b8d521660048c015260248b015260018060a01b031660388a015260c060648a015260c4890190610895565b878103600319016084890152916108d6565b8481036003190160a4860152916108d6565b03925af180156102945761025d575b5060207faa364c5b6118f7297a47ce8a073330ea9d8c78bfd2f79ac24aa8c14c277f608891604051908152a180f35,Yes,No,No
