Address,Bytecode,Prodigal,Suicidal,Locking
0x01c0752455282BC139A325e479c6121E060a7bBd,,Yes,No,No
0x038F9F4e93e88Af2C688da265222FdE80e455aA4,,Yes,No,Yes
0x06De94EfBE80A2804c5FDE2e7C4278a10575A272,,Yes,No,No
0x11b69aB33AD8a550dcF9B4A041AA1121255F08A5,,Yes,No,Yes
0x12582c7B0f43c6A667CBaA7fA8b112F7fb1E69F0,,Yes,No,No
0x1cE4d0E16570C362feef85Ce2713555fCbd3dBC7,,Yes,No,Yes
0x20E98684e3879e76eb09BBa45035Ef290a85a7c6,,Yes,No,No
0x2235662a9a8ED39AE489aafb2feE13Db26f72044,,Yes,No,Yes
0x270B3D343Dfbb67ADd7659F83F8e3e381A3369aC,,Yes,No,Yes
0x27A43305C387b464F47D7feC179DF028fF6c1188,,Yes,No,Yes
0x36FdA966CfffF8a9Cdc814f546db0e6378bFef35,,Yes,No,No
0x3a464f746D23Ab22155710f44dB16dcA53e0775E,,Yes,No,No
0x4907585D5D9ac83049F67c999Efbd7d977D705Db,,Yes,No,Yes
0x61374178e45F65fF9D6252d017Cd580FC60B7654,,Yes,No,No
0x666a24F62f7A97BA33c151776Eb3D9441a059eB8,,Yes,No,No
0x6Fae4D9935E2fcb11fC79a64e917fb2BF14DaFaa,,Yes,No,No
0x72f747270ED9C92c7026b222c5767561Be281DaF,,Yes,No,Yes
0x75f3E2a4f424401195A5E176246Ecc9f7e7680ff,,Yes,No,No
0x7937CB2886f01F38210506491A69B0D107Ea0ad9,,Yes,No,No
0x7d58D7F052792e54eeEe91B2467c2A17a163227e,,Yes,No,Yes
0x80Cebd56A65e46c474a1A101e89E76C4c51D179c,,Yes,No,No
0x81Dc65907791713F2713F40f91D5153b7Ae9f3f7,,Yes,No,Yes
0x84Fcd67D2B723416e2aFDd61484BD19bd9C32f27,,Yes,No,Yes
0x874AaCa847B365592B2b9dB7235517c5F3a5c689,,Yes,No,Yes
0x9BbDf86b272d224323136E15594fdCe487F40ce7,,Yes,No,Yes
0x9e8fFb1c26099e75Dd5D794030e2E9AA51471c25,,Yes,No,No
0xA4B4cE629b9959495Acc3923308FdCB92f8B9412,,Yes,No,Yes
0xA8f036f10F6280085a9B1347BC3e8499F6cdb9a6,,Yes,No,No
0xAb9B273366D794B7F80B4378bc8Aaca75C6178E2,,Yes,No,No
0xBfdB4056C49680dd54eedEf22C7F48308140a2a2,,Yes,No,Yes
0xC323f17895eB3576b6FF372100E9487a206863D6,,Yes,No,No
0xC50b98A6CFC20A2484bf2A21310F22C3557E5f32,,Yes,No,No
0xC81e6D1070aFA48DA4e4f35E744CC1aE43532a10,,Yes,No,No
0xCDfE1782fDC9E74810D3B69E971d752bC4b4D6E6,,Yes,No,Yes
0xD0199067DACb8526e7dc524a9a7DCBb57Cd25421,,Yes,No,No
0xD05202900502ab7a075249078f0816a163319b87,,Yes,No,No
0xD0dca420feFda68537695A8D887080eeF4030AF7,,Yes,No,No
0xD2670EedcD21116c6F0B331Ce391eA4B3Bf1aB19,,Yes,No,No
0xF16E63B42Df7f2676B373979120BBf7e6298F473,,Yes,No,No
0xF90A3d406C6F8321fe118861A357F4D7107760D7,,Yes,No,Yes
0xa2931C37957f3079d3B21b877d56E1db930e02a5,,Yes,No,No
0xb347c2cbfc32e0bdf365183635352e0C38c97147,,Yes,No,Yes
0xb6BdD0311F634E136e2d4D5aDe09F5D6C8B911c3,,Yes,No,Yes
0xcBd099Fe6D0257D47ec1CD1CD8f35fa3170F6d33,,Yes,No,No
0xccA408a6A9A6dc405C3278647421eb4317466943,,Yes,No,No
0xd0133980785c4DA716445Dd503804Cad858A5ecB,,Yes,No,Yes
0xd785272D240B07719e417622cbd2cfA0E584d1bd,,Yes,No,No
0xdB5B9F7aA064fA5CF8C51e71be0345Ac0Ee1d8b2,,Yes,No,No
0xe0B988062A0C6492177d64823Ab95a9c256c2a5F,,Yes,No,No
0xf7bAD571C3F043b0577ce6207630A01BF6092D6A,,Yes,No,No
